"","Season","Team","GP"
"437",1991,"Connecticut",3
"438",1991,"E Michigan",3
"439",1991,"Ohio St",3
"440",1991,"Oklahoma St",3
"441",1991,"Arkansas",4
"442",1991,"Seton Hall",4
"443",1991,"St John's",4
"444",1991,"Temple",4
"445",1991,"UNLV",5
"446",1991,"North Carolina",5
"447",1991,"Kansas",6
"448",1991,"Duke",6
"449",1992,"Stanford",1
"450",1992,"Murray St",1
"451",1992,"Nebraska",1
"452",1992,"Campbell",1
"453",1992,"Montana",1
"454",1992,"South Florida",1
"455",1992,"Houston",1
"456",1992,"E Illinois",1
"457",1992,"Texas",1
"458",1992,"BYU",1
"459",1992,"Pepperdine",1
"460",1992,"West Virginia",1
"461",1992,"Miami OH",1
"462",1992,"MS Valley St",1
"463",1992,"La Salle",1
"464",1992,"ULM",1
"465",1992,"Delaware",1
"466",1992,"Arizona",1
"467",1992,"Charlotte",1
"468",1992,"Howard",1
"469",1992,"Old Dominion",1
"470",1992,"Wake Forest",1
"471",1992,"Fordham",1
"472",1992,"Temple",1
"473",1992,"Missouri St",1
"474",1992,"DePaul",1
"475",1992,"Ga Southern",1
"476",1992,"Princeton",1
"477",1992,"St John's",1
"478",1992,"Robert Morris",1
"479",1992,"Oklahoma",1
"480",1992,"Evansville",1
"481",1992,"Iowa",2
"482",1992,"Georgetown",2
"483",1992,"USC",2
"484",1992,"LSU",2
"485",1992,"Arkansas",2
"486",1992,"Alabama",2
"487",1992,"Connecticut",2
"488",1992,"Missouri",2
"489",1992,"Michigan St",2
"490",1992,"Iowa St",2
"491",1992,"Syracuse",2
"492",1992,"ETSU",2
"493",1992,"ULL",2
"494",1992,"Tulane",2
"495",1992,"Louisville",2
"496",1992,"Kansas",2
"497",1992,"Seton Hall",3
"498",1992,"Florida St",3
"499",1992,"Massachusetts",3
"500",1992,"New Mexico St",3
"501",1992,"UTEP",3
"502",1992,"Georgia Tech",3
"503",1992,"Oklahoma St",3
"504",1992,"North Carolina",3
"505",1992,"Kentucky",4
"506",1992,"UCLA",4
"507",1992,"Memphis",4
"508",1992,"Ohio St",4
"509",1992,"Indiana",5
"510",1992,"Cincinnati",5
"511",1992,"Michigan",6
"512",1992,"Duke",6
"513",1993,"Holy Cross",1
"514",1993,"SMU",1
"515",1993,"LSU",1
"516",1993,"S Illinois",1
"517",1993,"Evansville",1
"518",1993,"Long Beach St",1
"519",1993,"Ball St",1
"520",1993,"East Carolina",1
"521",1993,"Purdue",1
"522",1993,"Arizona",1
"523",1993,"Tennessee St",1
"524",1993,"Texas Tech",1
"525",1993,"Missouri",1
"526",1993,"Kansas St",1
"527",1993,"Boise St",1
"528",1993,"Memphis",1
"529",1993,"Coppin St",1
"530",1993,"New Mexico",1
"531",1993,"Wright St",1
"532",1993,"ULM",1
"533",1993,"Rider",1
"534",1993,"Delaware",1
"535",1993,"Penn",1
"536",1993,"Coastal Car",1
"537",1993,"Nebraska",1
"538",1993,"Marquette",1
"539",1993,"Georgia Tech",1
"540",1993,"Iowa St",1
"541",1993,"Pittsburgh",1
"542",1993,"Manhattan",1
"543",1993,"Chattanooga",1
"544",1993,"New Orleans",1
"545",1993,"St John's",2
"546",1993,"Duke",2
"547",1993,"Tulane",2
"548",1993,"BYU",2
"549",1993,"Rhode Island",2
"550",1993,"Santa Clara",2
"551",1993,"Illinois",2
"552",1993,"Seton Hall",2
"553",1993,"New Mexico St",2
"554",1993,"Southern Univ",2
"555",1993,"Xavier",2
"556",1993,"Utah",2
"557",1993,"Oklahoma St",2
"558",1993,"UCLA",2
"559",1993,"Massachusetts",2
"560",1993,"Iowa",2
"561",1993,"WKU",3
"562",1993,"Louisville",3
"563",1993,"California",3
"564",1993,"Wake Forest",3
"565",1993,"Virginia",3
"566",1993,"G Washington",3
"567",1993,"Arkansas",3
"568",1993,"Vanderbilt",3
"569",1993,"Indiana",4
"570",1993,"Florida St",4
"571",1993,"Temple",4
"572",1993,"Cincinnati",4
"573",1993,"Kentucky",5
"574",1993,"Kansas",5
"575",1993,"Michigan",6
"576",1993,"North Carolina",6
"577",1994,"Providence",1
"578",1994,"Rider",1
"579",1994,"James Madison",1
"580",1994,"UAB",1
"581",1994,"Chattanooga",1
"582",1994,"St Louis",1
"583",1994,"Texas St",1
"584",1994,"Pepperdine",1
"585",1994,"Navy",1
"586",1994,"Nebraska",1
"587",1994,"UCF",1
"588",1994,"Hawaii",1
"589",1994,"WKU",1
"590",1994,"Col Charleston",1
"591",1994,"California",1
"592",1994,"Cincinnati",1
"593",1994,"Loyola MD",1
"594",1994,"NC A&T",1
"595",1994,"Washington St",1
"596",1994,"TX Southern",1
"597",1994,"Illinois",1
"598",1994,"Ohio",1
"599",1994,"Tennessee St",1
"600",1994,"Boise St",1
"601",1994,"ULL",1
"602",1994,"Seton Hall",1
"603",1994,"S Illinois",1
"604",1994,"Liberty",1
"605",1994,"New Mexico St",1
"606",1994,"Drexel",1
"607",1994,"UCLA",1
"608",1994,"New Mexico",1
"609",1994,"G Washington",2
"610",1994,"Penn",2
"611",1994,"Wake Forest",2
"612",1994,"Massachusetts",2
"613",1994,"Texas",2
"614",1994,"Wisconsin",2
"615",1994,"Alabama",2
"616",1994,"WI Green Bay",2
"617",1994,"Virginia",2
"618",1994,"Georgetown",2
"619",1994,"North Carolina",2
"620",1994,"Michigan St",2
"621",1994,"Temple",2
"622",1994,"Minnesota",2
"623",1994,"Kentucky",2
"624",1994,"Oklahoma St",2
"625",1994,"Louisville",3
"626",1994,"Marquette",3
"627",1994,"Syracuse",3
"628",1994,"Kansas",3
"629",1994,"Tulsa",3
"630",1994,"Indiana",3
"631",1994,"Connecticut",3
"632",1994,"Maryland",3
"633",1994,"Missouri",4
"634",1994,"Purdue",4
"635",1994,"Michigan",4
"636",1994,"Boston College",4
"637",1994,"Arizona",5
"638",1994,"Florida",5
"639",1994,"Duke",6
"640",1994,"Arkansas",6
"641",1995,"Penn",1
"642",1995,"Ball St",1
"643",1995,"Temple",1
"644",1995,"Chattanooga",1
"645",1995,"Colgate",1
"646",1995,"Mt St Mary's",1
"647",1995,"Oklahoma",1
"648",1995,"Gonzaga",1
"649",1995,"Arizona",1
"650",1995,"Drexel",1
"651",1995,"Minnesota",1
"652",1995,"Oregon",1
"653",1995,"BYU",1
"654",1995,"Nicholls St",1
"655",1995,"Michigan",1
"656",1995,"NC A&T",1
"657",1995,"TX Southern",1
"658",1995,"Xavier",1
"659",1995,"Florida",1
"660",1995,"St Peter's",1
"661",1995,"Louisville",1
"662",1995,"Santa Clara",1
"663",1995,"Indiana",1
"664",1995,"Murray St",1
"665",1995,"Villanova",1
"666",1995,"WI Green Bay",1
"667",1995,"Charlotte",1
"668",1995,"S Illinois",1
"669",1995,"Illinois",1
"670",1995,"Florida Intl",1
"671",1995,"Long Beach St",1
"672",1995,"Michigan St",1
"673",1995,"Manhattan",2
"674",1995,"Cincinnati",2
"675",1995,"WKU",2
"676",1995,"Tulane",2
"677",1995,"Texas",2
"678",1995,"Alabama",2
"679",1995,"Miami OH",2
"680",1995,"St Louis",2
"681",1995,"Syracuse",2
"682",1995,"Weber St",2
"683",1995,"Stanford",2
"684",1995,"Purdue",2
"685",1995,"Utah",2
"686",1995,"Iowa St",2
"687",1995,"Old Dominion",2
"688",1995,"Missouri",2
"689",1995,"Maryland",3
"690",1995,"Arizona St",3
"691",1995,"Georgetown",3
"692",1995,"Mississippi St",3
"693",1995,"Memphis",3
"694",1995,"Tulsa",3
"695",1995,"Wake Forest",3
"696",1995,"Kansas",3
"697",1995,"Kentucky",4
"698",1995,"Connecticut",4
"699",1995,"Virginia",4
"700",1995,"Massachusetts",4
"701",1995,"North Carolina",5
"702",1995,"Oklahoma St",5
"703",1995,"Arkansas",6
"704",1995,"UCLA",6
"705",1996,"Penn St",1
"706",1996,"Colgate",1
"707",1996,"Memphis",1
"708",1996,"Duke",1
"709",1996,"Clemson",1
"710",1996,"California",1
"711",1996,"San Jose St",1
"712",1996,"Monmouth NJ",1
"713",1996,"UCF",1
"714",1996,"VA Commonwealth",1
"715",1996,"UCLA",1
"716",1996,"W Carolina",1
"717",1996,"Bradley",1
"718",1996,"Montana St",1
"719",1996,"Canisius",1
"720",1996,"WI Green Bay",1
"721",1996,"Valparaiso",1
"722",1996,"Indiana",1
"723",1996,"UNC Greensboro",1
"724",1996,"MS Valley St",1
"725",1996,"Austin Peay",1
"726",1996,"G Washington",1
"727",1996,"S Carolina St",1
"728",1996,"Tulsa",1
"729",1996,"Kansas St",1
"730",1996,"New Orleans",1
"731",1996,"Maryland",1
"732",1996,"Oklahoma",1
"733",1996,"Michigan",1
"734",1996,"N Illinois",1
"735",1996,"Portland",1
"736",1996,"ULM",1
"737",1996,"Marquette",2
"738",1996,"E Michigan",2
"739",1996,"Purdue",2
"740",1996,"Virginia Tech",2
"741",1996,"Stanford",2
"742",1996,"Princeton",2
"743",1996,"Drexel",2
"744",1996,"Iowa St",2
"745",1996,"Iowa",2
"746",1996,"Temple",2
"747",1996,"New Mexico",2
"748",1996,"Boston College",2
"749",1996,"Santa Clara",2
"750",1996,"Villanova",2
"751",1996,"North Carolina",2
"752",1996,"Texas",2
"753",1996,"Texas Tech",3
"754",1996,"Utah",3
"755",1996,"Arkansas",3
"756",1996,"Louisville",3
"757",1996,"Georgia Tech",3
"758",1996,"Arizona",3
"759",1996,"Connecticut",3
"760",1996,"Georgia",3
"761",1996,"Wake Forest",4
"762",1996,"Georgetown",4
"763",1996,"Cincinnati",4
"764",1996,"Kansas",4
"765",1996,"Massachusetts",5
"766",1996,"Mississippi St",5
"767",1996,"Syracuse",6
"768",1996,"Kentucky",6
"769",1997,"South Alabama",1
"770",1997,"Valparaiso",1
"771",1997,"Princeton",1
"772",1997,"Butler",1
"773",1997,"Maryland",1
"774",1997,"Indiana",1
"775",1997,"Virginia",1
"776",1997,"Illinois St",1
"777",1997,"Jackson St",1
"778",1997,"Montana",1
"779",1997,"Fairfield",1
"780",1997,"Rhode Island",1
"781",1997,"Pacific",1
"782",1997,"Charleston So",1
"783",1997,"Long Island",1
"784",1997,"Vanderbilt",1
"785",1997,"Georgetown",1
"786",1997,"Georgia",1
"787",1997,"Miami OH",1
"788",1997,"South Carolina",1
"789",1997,"Murray St",1
"790",1997,"USC",1
"791",1997,"Massachusetts",1
"792",1997,"Texas St",1
"793",1997,"Old Dominion",1
"794",1997,"Marquette",1
"795",1997,"Oklahoma",1
"796",1997,"Mississippi",1
"797",1997,"Wisconsin",1
"798",1997,"Boston Univ",1
"799",1997,"Navy",1
"800",1997,"St Mary's CA",1
"801",1997,"Col Charleston",2
"802",1997,"Villanova",2
"803",1997,"Cincinnati",2
"804",1997,"Purdue",2
"805",1997,"Iowa",2
"806",1997,"Colorado",2
"807",1997,"Boston College",2
"808",1997,"Xavier",2
"809",1997,"Illinois",2
"810",1997,"Tulsa",2
"811",1997,"New Mexico",2
"812",1997,"Temple",2
"813",1997,"Duke",2
"814",1997,"Wake Forest",2
"815",1997,"Coppin St",2
"816",1997,"Charlotte",2
"817",1997,"St Joseph's PA",3
"818",1997,"Clemson",3
"819",1997,"Iowa St",3
"820",1997,"Stanford",3
"821",1997,"Kansas",3
"822",1997,"Texas",3
"823",1997,"California",3
"824",1997,"Chattanooga",3
"825",1997,"Utah",4
"826",1997,"UCLA",4
"827",1997,"Providence",4
"828",1997,"Louisville",4
"829",1997,"North Carolina",5
"830",1997,"Minnesota",5
"831",1997,"Kentucky",6
"832",1997,"Arizona",6
"833",1998,"Nicholls St",1
"834",1998,"Nebraska",1
"835",1998,"IL Chicago",1
"836",1998,"Northern Arizona",1
"837",1998,"F Dickinson",1
"838",1998,"South Alabama",1
"839",1998,"Tennessee",1
"840",1998,"Oklahoma",1
"841",1998,"Utah St",1
"842",1998,"E Michigan",1
"843",1998,"Navy",1
"844",1998,"UNLV",1
"845",1998,"South Carolina",1
"846",1998,"San Francisco",1
"847",1998,"Xavier",1
"848",1998,"Temple",1
"849",1998,"St John's",1
"850",1998,"Radford",1
"851",1998,"TCU",1
"852",1998,"Prairie View",1
"853",1998,"S Carolina St",1
"854",1998,"Davidson",1
"855",1998,"Butler",1
"856",1998,"G Washington",1
"857",1998,"Delaware",1
"858",1998,"Murray St",1
"859",1998,"Massachusetts",1
"860",1998,"Col Charleston",1
"861",1998,"Iona",1
"862",1998,"Miami FL",1
"863",1998,"Mississippi",1
"864",1998,"Clemson",1
"865",1998,"Illinois St",2
"866",1998,"Indiana",2
"867",1998,"Illinois",2
"868",1998,"Princeton",2
"869",1998,"Charlotte",2
"870",1998,"Arkansas",2
"871",1998,"Richmond",2
"872",1998,"Cincinnati",2
"873",1998,"Oklahoma St",2
"874",1998,"St Louis",2
"875",1998,"Detroit",2
"876",1998,"Kansas",2
"877",1998,"W Michigan",2
"878",1998,"New Mexico",2
"879",1998,"Michigan",2
"880",1998,"Florida St",2
"881",1998,"Maryland",3
"882",1998,"Washington",3
"883",1998,"Michigan St",3
"884",1998,"West Virginia",3
"885",1998,"Syracuse",3
"886",1998,"UCLA",3
"887",1998,"Valparaiso",3
"888",1998,"Purdue",3
"889",1998,"Connecticut",4
"890",1998,"Arizona",4
"891",1998,"Duke",4
"892",1998,"Rhode Island",4
"893",1998,"Stanford",5
"894",1998,"North Carolina",5
"895",1998,"Utah",6
"896",1998,"Kentucky",6
"897",1999,"Siena",1
"898",1999,"Winthrop",1
"899",1999,"UT San Antonio",1
"900",1999,"Louisville",1
"901",1999,"UCLA",1
"902",1999,"Penn",1
"903",1999,"Minnesota",1
"904",1999,"G Washington",1
"905",1999,"UAB",1
"906",1999,"Valparaiso",1
"907",1999,"Missouri",1
"908",1999,"Murray St",1
"909",1999,"Syracuse",1
"910",1999,"Samford",1
"911",1999,"Alcorn St",1
"912",1999,"North Carolina",1
"913",1999,"Rhode Island",1
"914",1999,"George Mason",1
"915",1999,"Florida A&M",1
"916",1999,"Evansville",1
"917",1999,"New Mexico St",1
"918",1999,"Lafayette",1
"919",1999,"Washington",1
"920",1999,"Mt St Mary's",1
"921",1999,"Villanova",1
"922",1999,"Wisconsin",1
"923",1999,"Arizona",1
"924",1999,"Texas",1
"925",1999,"Kent",1
"926",1999,"Delaware",1
"927",1999,"Col Charleston",1
"928",1999,"Arkansas St",1
"929",1999,"Oklahoma St",2
"930",1999,"New Mexico",2
"931",1999,"Weber St",2
"932",1999,"Stanford",2
"933",1999,"Arkansas",2
"934",1999,"Creighton",2
"935",1999,"Detroit",2
"936",1999,"Indiana",2
"937",1999,"Tulsa",2
"938",1999,"Kansas",2
"939",1999,"Utah",2
"940",1999,"Mississippi",2
"941",1999,"Tennessee",2
"942",1999,"Charlotte",2
"943",1999,"Miami FL",2
"944",1999,"Cincinnati",2
"945",1999,"Iowa",3
"946",1999,"Florida",3
"947",1999,"Auburn",3
"948",1999,"Maryland",3
"949",1999,"Missouri St",3
"950",1999,"Miami OH",3
"951",1999,"Oklahoma",3
"952",1999,"Purdue",3
"953",1999,"Gonzaga",4
"954",1999,"St John's",4
"955",1999,"Temple",4
"956",1999,"Kentucky",4
"957",1999,"Ohio St",5
"958",1999,"Michigan St",5
"959",1999,"Duke",6
